,sim,sim_std,obs
2006-03-06,1.7116322535703274,0.75849264717872,
2006-03-07,1.7241469877200977,0.7577612162897308,
2006-03-08,1.7378351157912142,0.7569157274607907,
2006-03-09,1.7515999915711866,0.7560188958600119,
2006-03-10,1.7645617935363191,0.7551233445913302,
2006-03-11,1.7783539361683443,0.7541472922632213,
2006-03-12,1.7940214074010223,0.7529354478940283,
2006-03-13,1.8098358594614978,0.751668443494946,
2006-03-14,1.817571588575978,0.7510293444691808,
2006-03-15,1.8272357332450033,0.7502390858370052,
2006-03-16,1.8369250208299868,0.7494269828631861,
2006-03-17,1.8492297285091832,0.7483962046499011,
2006-03-18,1.8615458228803103,0.7473220423038398,
2006-03-19,1.8667193609419224,0.7468447244073124,
2006-03-20,1.8746942487082379,0.7461102364628065,
2006-03-21,1.88953203759473,0.7447775295121762,
2006-03-22,1.904669460800701,0.7433600426034421,
2006-03-23,1.9224010833991358,0.7416807966367127,
2006-03-24,1.9402723023179667,0.7399359870472343,
2006-03-25,1.9558148153109194,0.7383231257555373,
2006-03-26,1.9697429551911614,0.7368722262141286,
2006-03-27,1.987158623317688,0.7350468355821458,
2006-03-28,2.0052025130793214,0.7330717663978407,
2006-03-29,2.024056665409892,0.7309840856432369,
2006-03-30,2.0431613429384705,0.7288604852387376,
2006-03-31,2.0571917046921087,0.7271816910173752,
2006-04-01,2.071455317697578,0.7254527208833468,
2006-04-02,2.0853365740754746,0.7237848550154116,
2006-04-03,2.095330546333068,0.7225212438025088,
2006-04-04,2.1161350400225856,0.7199760406150996,
2006-04-05,2.1372652509560393,0.7174322910156848,
2006-04-06,2.1515990229208524,0.7155795273579938,
2006-04-07,2.172744278157208,0.7129326188976489,
2006-04-08,2.1938748024259067,0.710273266367334,
2006-04-09,2.2144306696140763,0.7076182350141816,
2006-04-10,2.2371908293615266,0.7046117405404758,
2006-04-11,2.2601685700819387,0.7015215703825493,
2006-04-12,2.281374786873641,0.6991851151274193,
2006-04-13,2.302031072340203,0.6971056990312263,
2006-04-14,2.3213589081512103,0.6954682771852453,
2006-04-15,2.3429724413311868,0.6939441466107623,
2006-04-16,2.3634479285529864,0.6926771428746193,
2006-04-17,2.382041455051247,0.6919104039856105,
2006-04-18,2.4001610232218624,0.6913291882048594,
2006-04-19,2.418477041991811,0.6907938827512069,
2006-04-20,2.4367282589519976,0.6901828777709281,
2006-04-21,2.4542483067369423,0.6895112389035944,
2006-04-22,2.4719150288810763,0.6889054771809999,
2006-04-23,2.489255680126243,0.6883867975071117,
2006-04-24,2.5060959136816914,0.687796570105698,
2006-04-25,2.522066710540014,0.6872031103380868,
2006-04-26,2.536909948398816,0.6866993787386797,
2006-04-27,2.553090345621906,0.6859171500822642,
2006-04-28,2.569096495928031,0.6850370488215517,
2006-04-29,2.5877858486253915,0.6837639126442049,
2006-04-30,2.6063040129281347,0.6824654877712821,
2006-05-01,2.6258371073008795,0.6812459795246618,
2006-05-02,2.645332264089193,0.6800347691802545,
2006-05-03,2.6615681509230633,0.6790691544783444,
2006-05-04,2.679634426842449,0.6778412204353012,
2006-05-05,2.6995303899579772,0.676396118472654,
2006-05-06,2.7196164146075397,0.6750246918506916,
2006-05-07,2.7266059758792314,0.6749173790572378,
2006-05-08,2.728734166631561,0.6753180170435841,
2006-05-09,2.734595774892778,0.6753736870505835,
2006-05-10,2.7384746276642438,0.6678548544540109,
2006-05-11,2.7473186445144013,0.6607895258709487,
2006-05-12,2.754557303667464,0.6543017271368015,
2006-05-13,2.7588553824026367,0.6496799533208174,
2006-05-14,2.7790214065661294,0.6438210995699655,
2006-05-15,2.798757586197023,0.638568425551386,
2006-05-16,2.8174352145783805,0.6338659091961736,
2006-05-17,2.835410184869532,0.629667618198693,
2006-05-18,2.852573391928752,0.6272538668836452,
2006-05-19,2.8650153275153665,0.6263941882671828,
2006-05-20,2.8774741952929044,0.6263251713596311,
2006-05-21,2.882098804320364,0.6277634332806937,
2006-05-22,2.895545471814734,0.6285096661208722,
2006-05-23,2.9105071749741813,0.6297476276937715,
2006-05-24,2.9299099508416697,0.6306783439596579,
2006-05-25,2.948458774669891,0.6314201395041473,
2006-05-26,2.9615415586802842,0.6323676862413432,
2006-05-27,2.9796230804232113,0.6324540589848953,
2006-05-28,2.9959998948513085,0.6324272371531277,
2006-05-29,3.015797263230622,0.6319736955412181,
2006-05-30,3.03471233588255,0.6317301320414096,
2006-05-31,3.054622384441158,0.6313479603436093,
2006-06-01,3.072372730839014,0.6312615029784086,
2006-06-02,3.088927346137804,0.6313742581497733,
2006-06-03,3.1085655033498103,0.6312063088310383,
2006-06-04,3.128448754372239,0.6311296661313152,
2006-06-05,3.147831850749437,0.6310659066552626,
2006-06-06,3.168703491742208,0.6307504191775406,
2006-06-07,3.1906856292564116,0.6304082818864261,
2006-06-08,3.214008473751905,0.6297997477082016,
2006-06-09,3.2377830134090817,0.6292691173631181,
2006-06-10,3.258439210260694,0.6291172729846365,
2006-06-11,3.2765361549483685,0.6293485463488119,
2006-06-12,3.2982632594102443,0.6288847683976819,
2006-06-13,3.321915142257513,0.6285818874323087,
2006-06-14,3.3443286140282664,0.6282889382979501,
2006-06-15,3.3664618663166386,0.627975604833933,
2006-06-16,3.3963602544495552,0.6240872171791942,
2006-06-17,3.42743614629502,0.6213455842920511,
2006-06-18,3.437136556504615,0.6262688227807077,
2006-06-19,3.4450284877190582,0.6314339408369924,
2006-06-20,3.4475615578815724,0.6326396930895075,
2006-06-21,3.4446857688268913,0.6386505715067653,
2006-06-22,3.4424555863808837,0.6484780183740502,
2006-06-23,3.435550354925024,0.661845521763352,
2006-06-24,3.428877363665521,0.676074977621266,
